registry_name,java_class,category,width,height,model_class,tier,artist_tier,animation_class,status,status_note,geo_file,rig_source,in_game,animation_file,bbmodel_file,spec_file,bones,cubes,clips_shipped,textures_referenced,canonical_textures,expected_scale,expected_shadow,pin_status,harness_proof,hitbox_profile,locked_bones,artist_scope,effort_hours,effort_source,client_files,notes
dungeon_beast,DungeonBeast,MONSTER,1.15,1.1,ModelDungeonBeast,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ModelDungeonBeast; no geo landed yet — packaged from the reference leg's converter output (reference_dungeonbeast.geo.json: the rig is not yet in-game, its bone names final)",reference_dungeonbeast.geo.json,reference-leg converter output,no,,dungeon_beast.bbmodel,SPEC.md,64,64,0,1,1,1,0.25,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class (an attacking branch on the tail amplitude and the jaw-flap latch): geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",31.8,generator: 4 h + 0.2 h/bone x 64 + 1 h/clip x 15 to author or improve (owner adjusts),DungeonBeastRenderer,
ender_knight,EnderKnight,MONSTER,0.6,2.9,ModelEnderKnight,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ModelEnderKnight; no geo landed yet — packaged from the reference leg's converter output (reference_enderknight.geo.json: the rig is not yet in-game, its bone names final)",reference_enderknight.geo.json,reference-leg converter output,no,,ender_knight.bbmodel,SPEC.md,40,40,0,1,1,1,0.3,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class (a screaming branch on the arms and sword): geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",26,generator: 4 h + 0.2 h/bone x 40 + 1 h/clip x 14 to author or improve (owner adjusts),EnderKnightRenderer,
ender_reaper,EnderReaper,MONSTER,0.7,2.9,ModelEnderReaper,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ModelEnderReaper; no geo landed yet — packaged from the reference leg's converter output (reference_enderreaper.geo.json: the rig is not yet in-game, its bone names final)",reference_enderreaper.geo.json,reference-leg converter output,no,,ender_reaper.bbmodel,SPEC.md,66,66,0,1,1,1,0.2,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class: geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",31.2,generator: 4 h + 0.2 h/bone x 66 + 1 h/clip x 14 to author or improve (owner adjusts),EnderReaperRenderer,
giant_robot,GiantRobot,MONSTER,3,9.75,ModelGiantRobot,1,Tier 1 (boss),state-branching — setupAnim branches on entity state,classic only,"Tier 1 model ModelGiantRobot; no geo landed yet — packaged from the reference leg's converter output (reference_giantrobot.geo.json: the rig is not yet in-game, its bone names final)",reference_giantrobot.geo.json,reference-leg converter output,no,,giant_robot.bbmodel,SPEC.md,29,29,0,1,1,1,0.99,pin,reference_model_proofs.json,,25,"full contract (Tier 1, the state-branching class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice) — packaged from the reference leg's converter output, whose instance bones (the shared leg and arm parts as one bone per side: `<part>__i0` the left, `<part>__i1` the right) are the FINAL bone set (owner 2026-09-14, item 2: TEST-009 (a))",27.4,generator: 8 h + 0.15 h/bone x 29 + 1.5 h/clip x 10 to author or improve (owner adjusts),GiantRobotRenderer,
jeffery,Jeffery,MONSTER,3,9.75,ModelGiantRobot,1,Tier 1 (boss),state-branching — setupAnim branches on entity state,classic only,"Tier 1 model ModelGiantRobot; no geo landed yet — packaged from the reference leg's converter output (reference_giantrobot.geo.json: the rig is not yet in-game, its bone names final)",reference_giantrobot.geo.json,reference-leg converter output,no,,jeffery.bbmodel,SPEC.md,29,29,0,1,1,,,no pin,reference_model_proofs.json,,25,"full contract (Tier 1, the state-branching class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice) — packaged from the reference leg's converter output, whose instance bones (the shared leg and arm parts as one bone per side: `<part>__i0` the left, `<part>__i1` the right) are the FINAL bone set (owner 2026-09-14, item 2: TEST-009 (a))",27.4,generator: 8 h + 0.15 h/bone x 29 + 1.5 h/clip x 10 to author or improve (owner adjusts),GiantRobotRenderer,
hammerhead,Hammerhead,MONSTER,3,5,ModelHammerhead,1,Tier 1 (boss),gait-scaled — trigonometric pose depends on limbSwingAmount,classic only,"Tier 1 model ModelHammerhead; no geo landed yet — packaged from the reference leg's converter output (reference_hammerhead.geo.json: the rig is not yet in-game, its bone names final)",reference_hammerhead.geo.json,reference-leg converter output,no,,hammerhead.bbmodel,SPEC.md,37,37,0,1,1,2.5,2.5,pin,reference_model_proofs.json,,18,"full contract (Tier 1, the gait-scaled class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",30.1,generator: 8 h + 0.15 h/bone x 37 + 1.5 h/clip x 11 to author or improve (owner adjusts),HammerheadRenderer,
irukandji,Irukandji,MONSTER,0.25,0.25,ModelIrukandji,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,irukandji.geo.json,shipped,yes,irukandji.animation.json,irukandji.bbmodel,SPEC.md,9,9,0,1,1,0.25,0.025,pin,,,0,"full contract (Tier 2, the simple-cyclic (with position chains) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",19.8,generator: 4 h + 0.2 h/bone x 9 + 1 h/clip x 14 to author or improve (owner adjusts),IrukandjiRenderer;IrukandjiGeoReplacement,
nastysaurus,Nastysaurus,MONSTER,2.2,4.6,ModelNastysaurus,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ModelNastysaurus; no geo landed yet — packaged from the reference leg's converter output (reference_nastysaurus.geo.json: the rig is not yet in-game, its bone names final)",reference_nastysaurus.geo.json,reference-leg converter output,no,,nastysaurus.bbmodel,SPEC.md,59,59,0,1,1,1.5,1.5,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class: geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",28.8,generator: 4 h + 0.2 h/bone x 59 + 1 h/clip x 13 to author or improve (owner adjusts),NastysaurusRenderer,
pitch_black,PitchBlack,MONSTER,2,3,ModelPitchBlack,1,Tier 1 (boss),state-branching — setupAnim branches on entity state,classic only,"Tier 1 model ModelPitchBlack; no geo landed yet — packaged from the reference leg's converter output (reference_pitchblack.geo.json: the rig is not yet in-game, its bone names final)",reference_pitchblack.geo.json,reference-leg converter output,no,,pitch_black.bbmodel,SPEC.md,101,101,0,1,1,dynamic,1.25,pin,reference_model_proofs.json,,14,"full contract (Tier 1, the state-branching class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",47.1,generator: 8 h + 0.15 h/bone x 101 + 1.5 h/clip x 16 to author or improve (owner adjusts),PitchBlackRenderer,
pointysaurus,Pointysaurus,MONSTER,2.9,2.9,ModelPointysaurus,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,pointysaurus.geo.json,shipped,yes,pointysaurus.animation.json,pointysaurus.bbmodel,SPEC.md,30,30,0,1,1,1,1,pin,,,0,"full contract (Tier 2, the gait-scaled (with an attacking branch) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2): in-game through the seam behind the dev switch since the fifth Tier-2 slice (T2e, 2026-09-15)",23,generator: 4 h + 0.2 h/bone x 30 + 1 h/clip x 13 to author or improve (owner adjusts),PointysaurusRenderer;PointysaurusGeoReplacement,
robot_1,Robot1,MONSTER,0.5,0.5,ModelRobot1,3,Tier 3,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,robot1.geo.json,shipped,yes,robot1.animation.json,robot_1.bbmodel,SPEC.md,27,27,0,1,1,1,0.3,pin,s4_model_proofs.json,,0,none (Tier 3: code-driven; feet driven by distance walked — P2's limbSwing-distance list),0,seed (owner-set),Robot1Renderer;Robot1GeoReplacement,
robot_2,Robot2,MONSTER,3,6.2,ModelRobot2,3,Tier 3,state-branching — setupAnim branches on entity state,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,robot2.geo.json,shipped,yes,robot2.animation.json,robot_2.bbmodel,SPEC.md,15,15,0,1,1,1,1,pin,s4_model_proofs.json,,0,none (Tier 3: code-driven),0,seed (owner-set),Robot2Renderer;Robot2GeoReplacement,
robot_3,Robot3,MONSTER,2.5,5,ModelRobot3,3,Tier 3,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,robot3.geo.json,shipped,yes,robot3.animation.json,robot_3.bbmodel,SPEC.md,19,19,0,1,1,0.5,0.5,pin,s4_model_proofs.json,,0,none (Tier 3: code-driven),0,seed (owner-set),Robot3Renderer;Robot3GeoReplacement,
robot_4,Robot4,MONSTER,2.5,4,ModelRobot4,3,Tier 3,state-branching — setupAnim branches on entity state,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,robot4.geo.json,shipped,yes,robot4.animation.json,robot_4.bbmodel,SPEC.md,56,56,0,1,1,1,1,pin,s4_model_proofs.json,,0,"none (Tier 3: code-driven; the most-boned Tier-3 rig, 56 bones)",0,seed (owner-set),Robot4Renderer;Robot4GeoReplacement,
robot_5,Robot5,MONSTER,1,2.25,ModelRobot5,3,Tier 3,gait-scaled — non-cyclic pose/head or inherited gait inputs,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,robot5.geo.json,shipped,yes,robot5.animation.json,robot_5.bbmodel,SPEC.md,11,11,0,1,1,1,0.5,pin,s4_model_proofs.json,,0,none (Tier 3: code-driven; wheels driven by distance — P2's limbSwing-distance list),0,seed (owner-set),Robot5Renderer;Robot5GeoReplacement,
sea_monster,SeaMonster,MONSTER,1.25,2.5,ModelSeaMonster,1,Tier 1 (boss),state-branching — setupAnim branches on entity state,classic only,"Tier 1 model ModelSeaMonster; no geo landed yet — packaged from the reference leg's converter output (reference_seamonster.geo.json: the rig is not yet in-game, its bone names final)",reference_seamonster.geo.json,reference-leg converter output,no,,sea_monster.bbmodel,SPEC.md,23,23,0,1,1,1,1,pin,reference_model_proofs.json,,13,"full contract (Tier 1, the state-branching class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",32.5,generator: 8 h + 0.15 h/bone x 23 + 1.5 h/clip x 14 to author or improve (owner adjusts),SeaMonsterRenderer,
sea_viper,SeaViper,MONSTER,1.5,2.5,ModelSeaViper,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ModelSeaViper; no geo landed yet — packaged from the reference leg's converter output (reference_seaviper.geo.json: the rig is not yet in-game, its bone names final)",reference_seaviper.geo.json,reference-leg converter output,no,,sea_viper.bbmodel,SPEC.md,34,34,0,1,1,1,1,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class: geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",24.8,generator: 4 h + 0.2 h/bone x 34 + 1 h/clip x 14 to author or improve (owner adjusts),SeaViperRenderer,
skate,Skate,MONSTER,0.75,0.25,ModelSkate,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,skate.geo.json,shipped,yes,skate.animation.json,skate.bbmodel,SPEC.md,3,3,0,1,1,0.75,0.075,pin,,,0,"full contract (Tier 2, the simple-cyclic (with the threshold idiom) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",12.6,generator: 4 h + 0.2 h/bone x 3 + 1 h/clip x 8 to author or improve (owner adjusts),SkateRenderer;SkateGeoReplacement,
trex,TRex,MONSTER,2,4.2,ModelTRex,1,Tier 1 (boss),gait-scaled — trigonometric pose depends on limbSwingAmount,classic only,"Tier 1 model ModelTRex; no geo landed yet — packaged from the reference leg's converter output (reference_trex.geo.json: the rig is not yet in-game, its bone names final)",reference_trex.geo.json,reference-leg converter output,no,,trex.bbmodel,SPEC.md,27,27,0,1,1,1.2,1.2,pin,reference_model_proofs.json,,8,"full contract (Tier 1, the gait-scaled class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",28.6,generator: 8 h + 0.15 h/bone x 27 + 1.5 h/clip x 11 to author or improve (owner adjusts),TRexRenderer,
urchin,Urchin,MONSTER,1.35,2.1,ModelUrchin,2,Tier 2,state-branching — setupAnim branches on entity state,classic only,"Tier 2 model ModelUrchin; no geo landed yet — packaged from the reference leg's converter output (reference_urchin.geo.json: the rig is not yet in-game, its bone names final)",reference_urchin.geo.json,reference-leg converter output,no,,urchin.bbmodel,SPEC.md,17,17,0,1,1,1.25,0.4375,pin,reference_model_proofs.json,,0,"full contract (Tier 2, the state-branching class: geckolib_migration_design.md section 5); the rig is not yet in-game (it lands through the seam in a later slice)",19.4,generator: 4 h + 0.2 h/bone x 17 + 1 h/clip x 12 to author or improve (owner adjusts),UrchinRenderer,
godzilla,Godzilla,MONSTER,9.9,25,ModelGodzilla,1,Tier 1 (boss),gait-scaled — trigonometric pose depends on limbSwingAmount,classic only,"Tier 1 model ModelGodzilla; no geo landed yet — packaged from the reference leg's converter output (reference_godzilla.geo.json: the rig is not yet in-game, its bone names final)",reference_godzilla.geo.json,reference-leg converter output,no,,godzilla.bbmodel,SPEC.md,71,71,0,1,1,2,2,pin,reference_model_proofs.json,,12,"full contract (Tier 1, the gait-scaled class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",44.1,generator: 8 h + 0.15 h/bone x 71 + 1.5 h/clip x 17 to author or improve (owner adjusts),GodzillaRenderer,
kraken,Kraken,MONSTER,4,15,ModelKraken,1,Tier 1 (boss),simple cyclic — time/phase-driven trigonometric pose,classic only,"Tier 1 model ModelKraken; no geo landed yet — packaged from the reference leg's converter output (reference_kraken.geo.json: the rig is not yet in-game, its bone names final)",reference_kraken.geo.json,reference-leg converter output,no,,kraken.bbmodel,SPEC.md,111,111,0,1,1,1,1,pin,reference_model_proofs.json,,14,"full contract (Tier 1, the simple-cyclic class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",50.1,generator: 8 h + 0.15 h/bone x 111 + 1.5 h/clip x 17 to author or improve (owner adjusts),KrakenRenderer,
the_king,TheKing,MONSTER,22,24,ModelTheKing,1,Tier 1 (boss),simple cyclic — time/phase-driven trigonometric pose,classic only,"Tier 1 model ModelTheKing; no geo landed yet — packaged from the reference leg's converter output (reference_theking.geo.json: the rig is not yet in-game, its bone names final)",reference_theking.geo.json,reference-leg converter output,no,,the_king.bbmodel,SPEC.md,119,119,0,1,1,2.1,3.99,pin,reference_model_proofs.json,,15,"full contract (Tier 1, the simple-cyclic class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",60.3,generator: 8 h + 0.15 h/bone x 119 + 1.5 h/clip x 23 to author or improve (owner adjusts),TheKingRenderer,
the_queen,TheQueen,MONSTER,22,24,QueenModel,0,Tier 1 (boss; the design's 'done' row),state-branching — existing GeckoLib controller state machine,landed candidate,native GeckoLib rig (no dev switch; classic renderer retired),the_queen.geo.json,shipped,yes,the_queen.animation.json,the_queen.bbmodel,SPEC.md,110,130,8,2,2,2,3.8,pin,,the_queen,27,"PILOT (owner 2026-09-13, second set, item 10; third set, item 2): two clips to improve - `idle` (the dormant hover) and one attack, the `bite` strike, its impact frame where the hurt lands: 8 ticks after the trigger, the impact at 0.4 s; the other six (`idle_to_attack`, `attack`, `tail_whip_right`, `tail_whip_left`, `roar`, `death`) come back EXACTLY as shipped inside the same `the_queen.animation.json` (the checker requires every code-triggered clip present by name; a clip you did not touch is simply the shipped one). Beyond the pilot: the full contract with the §8.1 locks (ruled 2026-09-06, Q16 (a): the Queen is the pilot boss, scoped to `idle` and one attack; the Beaver the other pilot); today a native GeckoLib rig with eight hand-made clips.",27.5,generator: 8 h + 0.15 h/bone x 110 + 1.5 h/clip x 2 to author or improve (owner adjusts),QueenRenderer;QueenModel,
bee,EntityBee,MONSTER,1.5,2.5,BeeModel,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,bee.geo.json,shipped,yes,bee.animation.json,bee.bbmodel,SPEC.md,23,23,0,1,1,1.1,0.99,pin,,,0,"full contract (Tier 2, the simple-cyclic (with an attacking branch and a position chain) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",24.6,generator: 4 h + 0.2 h/bone x 23 + 1 h/clip x 16 to author or improve (owner adjusts),BeeRenderer;BeeGeoReplacement;BeeModel,
brutalfly,EntityBrutalfly,MONSTER,5,2,BrutalflyModel,2,Tier 2,simple cyclic — time/phase-driven trigonometric pose,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,brutalfly.geo.json,shipped,yes,brutalfly.animation.json,brutalfly.bbmodel,SPEC.md,14,14,2,1,1,9,6.75,pin,,,0,"full contract (Tier 2, the simple-cyclic class: geckolib_migration_design.md section 5)",11.8,generator: 4 h + 0.2 h/bone x 14 + 1 h/clip x 5 to author or improve (owner adjusts),BrutalflyRenderer;BrutalflyGeoReplacement;BrutalflyModel,
cater_killer,EntityCaterKiller,MONSTER,2.9,4.6,CaterKillerModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,caterkiller.geo.json,shipped,yes,caterkiller.animation.json,cater_killer.bbmodel,SPEC.md,80,80,0,1,1,1.25,1.25,pin,,,0,"full contract (Tier 2, the gait-scaled (with an attacking branch and position writes) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",42,generator: 4 h + 0.2 h/bone x 80 + 1 h/clip x 22 to author or improve (owner adjusts),CaterKillerRenderer;CaterKillerGeoReplacement;CaterKillerModel,
emperor_scorpion,EntityEmperorScorpion,MONSTER,3.5,3,EmperorScorpionModel,1,Tier 1 (boss),FK-chained — procedural child transforms form an FK chain,classic only,"Tier 1 model EmperorScorpionModel; no geo landed yet — packaged from the reference leg's converter output (reference_emperorscorpion.geo.json: the rig is not yet in-game, its bone names final)",reference_emperorscorpion.geo.json,reference-leg converter output,no,,emperor_scorpion.bbmodel,SPEC.md,78,78,0,1,1,1.5,1.425,pin,reference_model_proofs.json,,48,"full contract (Tier 1, the FK-chained class: geckolib_migration_design.md section 5) with the §8.1 locks; the rig is not yet in-game (it lands through the seam in a later slice)",37.7,generator: 8 h + 0.15 h/bone x 78 + 1.5 h/clip x 12 to author or improve (owner adjusts),EmperorScorpionRenderer;EmperorScorpionModel,
hercules_beetle,EntityHerculesBeetle,MONSTER,3.25,2.75,HerculesBeetleModel,2,Tier 2,gait-scaled — trigonometric pose depends on limbSwingAmount,landed candidate,behind -Dorespawn.dev.geckolibRenderers=candidate,herculesbeetle.geo.json,shipped,yes,herculesbeetle.animation.json,hercules_beetle.bbmodel,SPEC.md,37,37,0,1,1,1.1,1.089,pin,,,0,"full contract (Tier 2, the gait-scaled (with an attacking branch) class: geckolib_migration_design.md section 5); ON THE HOOK until idle and walk are delivered (Amendment 2)",21.4,generator: 4 h + 0.2 h/bone x 37 + 1 h/clip x 10 to author or improve (owner adjusts),HerculesBeetleRenderer;HerculesBeetleGeoReplacement;HerculesBeetleModel,
